,gene_symbols
ENSG00000100122,CRYBB1
ENSG00000177169,ULK1
ENSG00000102003,SYP
ENSG00000135205,CCDC146
ENSG00000087086,FTL
ENSG00000135655,USP15
ENSG00000139370,SLC15A4
ENSG00000106258,CYP3A5
ENSG00000104870,FCGRT
ENSG00000071967,CYBRD1
ENSG00000177993,ZNRF3-AS1
ENSG00000156675,RAB11FIP1
ENSG00000262655,SPON1
ENSG00000131435,PDLIM4
ENSG00000145681,HAPLN1
ENSG00000175505,CLCF1
ENSG00000103647,CORO2B
ENSG00000163638,ADAMTS9
ENSG00000163710,PCOLCE2
ENSG00000113657,DPYSL3
ENSG00000182326,C1S
ENSG00000176788,BASP1
ENSG00000153707,PTPRD
ENSG00000071051,NCK2
ENSG00000145390,USP53
ENSG00000196154,S100A4
ENSG00000187094,CCK
ENSG00000130427,EPO
ENSG00000121769,FABP3
ENSG00000214456,PLIN5
ENSG00000080823,MOK
ENSG00000131899,LLGL1
ENSG00000217128,FNIP1
ENSG00000114933,INO80D
ENSG00000043143,JADE2
ENSG00000111670,GNPTAB
ENSG00000091651,ORC6
ENSG00000078177,N4BP2
ENSG00000181804,SLC9A9
ENSG00000134817,APLNR
ENSG00000270547,LINC01235
ENSG00000232300,FAM215B
ENSG00000198712,MT-CO2
ENSG00000205929,C21orf62
ENSG00000266028,SRGAP2
ENSG00000172201,ID4
ENSG00000115365,LANCL1
ENSG00000170006,TMEM154
ENSG00000124813,RUNX2
ENSG00000188921,HACD4
ENSG00000115816,CEBPZ
ENSG00000081377,CDC14B
ENSG00000161638,ITGA5
ENSG00000198885,ITPRIPL1
ENSG00000135913,USP37
ENSG00000135063,FAM189A2
ENSG00000228253,MT-ATP8
ENSG00000079435,LIPE
ENSG00000159314,ARHGAP27
ENSG00000083544,TDRD3
ENSG00000241839,PLEKHO2
ENSG00000066056,TIE1
ENSG00000171791,BCL2
ENSG00000092853,CLSPN
ENSG00000124256,ZBP1
ENSG00000145247,OCIAD2
ENSG00000175305,CCNE2
ENSG00000235706,DICER1-AS1
ENSG00000178573,MAF
ENSG00000166974,MAPRE2
ENSG00000205268,PDE7A
ENSG00000170271,FAXDC2
ENSG00000073849,ST6GAL1
ENSG00000181234,TMEM132C
ENSG00000152457,DCLRE1C
ENSG00000103496,STX4
ENSG00000013725,CD6
ENSG00000198797,BRINP2
ENSG00000138795,LEF1
ENSG00000087074,PPP1R15A
ENSG00000237943,PRKCQ-AS1
ENSG00000007350,TKTL1
ENSG00000078549,ADCYAP1R1
ENSG00000006210,CX3CL1
ENSG00000068024,HDAC4
ENSG00000198393,ZNF26
ENSG00000152049,KCNE4
ENSG00000234684,SDCBP2-AS1
ENSG00000189195,BTBD8
ENSG00000163762,TM4SF18
ENSG00000214274,ANG
ENSG00000058063,ATP11B
ENSG00000196284,SUPT3H
ENSG00000132965,ALOX5AP
ENSG00000168077,SCARA3
ENSG00000100558,PLEK2
ENSG00000121931,LRIF1
ENSG00000139793,MBNL2
ENSG00000107185,RGP1
ENSG00000130779,CLIP1
ENSG00000142046,TMEM91
ENSG00000139364,TMEM132B
ENSG00000100503,NIN
ENSG00000172216,CEBPB
ENSG00000114166,KAT2B
ENSG00000196912,ANKRD36B
ENSG00000108679,LGALS3BP
ENSG00000170370,EMX2
ENSG00000163788,SNRK
ENSG00000133401,PDZD2
ENSG00000167604,NFKBID
ENSG00000072071,ADGRL1
ENSG00000145020,AMT
ENSG00000176971,FIBIN
ENSG00000116990,MYCL
ENSG00000162511,LAPTM5
ENSG00000196757,ZNF700
ENSG00000159403,C1R
ENSG00000167123,CERCAM
ENSG00000143119,CD53
ENSG00000133961,NUMB
ENSG00000189320,FAM180A
ENSG00000137098,SPAG8
ENSG00000140945,CDH13
ENSG00000011028,MRC2
ENSG00000144381,HSPD1
ENSG00000099954,CECR2
ENSG00000196136,SERPINA3
ENSG00000137628,DDX60
ENSG00000273888,FRMD6-AS1
ENSG00000246223,LINC01550
ENSG00000113368,LMNB1
ENSG00000011114,BTBD7
ENSG00000064300,NGFR
ENSG00000174938,SEZ6L2
ENSG00000140522,RLBP1
ENSG00000167106,FAM102A
ENSG00000161921,CXCL16
ENSG00000102393,GLA
ENSG00000166963,MAP1A
ENSG00000185008,ROBO2
ENSG00000109618,SEPSECS
ENSG00000184261,KCNK12
ENSG00000173175,ADCY5
ENSG00000183971,NPW
ENSG00000168918,INPP5D
ENSG00000069956,MAPK6
ENSG00000152465,NMT2
ENSG00000170581,STAT2
ENSG00000257365,FNTB
ENSG00000101096,NFATC2
ENSG00000130962,PRRG1
ENSG00000111885,MAN1A1
ENSG00000142765,SYTL1
ENSG00000115339,GALNT3
ENSG00000089820,ARHGAP4
ENSG00000079337,RAPGEF3
ENSG00000102786,INTS6
ENSG00000134871,COL4A2
ENSG00000186642,PDE2A
ENSG00000108924,HLF
ENSG00000232560,LINC01549
ENSG00000196092,PAX5
ENSG00000100241,SBF1
ENSG00000214402,LCNL1
ENSG00000074527,NTN4
ENSG00000151702,FLI1
ENSG00000160712,IL6R
ENSG00000125827,TMX4
ENSG00000108852,MPP2
ENSG00000151491,EPS8
ENSG00000129667,RHBDF2
ENSG00000105281,SLC1A5
ENSG00000163754,GYG1
ENSG00000155886,SLC24A2
ENSG00000178104,PDE4DIP
ENSG00000143322,ABL2
ENSG00000165949,IFI27
ENSG00000204569,PPP1R10
ENSG00000126709,IFI6
ENSG00000076944,STXBP2
ENSG00000256525,POLG2
ENSG00000129654,FOXJ1
ENSG00000127329,PTPRB
ENSG00000150625,GPM6A
ENSG00000186480,INSIG1
ENSG00000144355,DLX1
ENSG00000108239,TBC1D12
ENSG00000165655,ZNF503
ENSG00000107159,CA9
ENSG00000006634,DBF4
ENSG00000143226,FCGR2A
ENSG00000113721,PDGFRB
ENSG00000110841,PPFIBP1
ENSG00000226419,SLC16A1-AS1
ENSG00000185189,NRBP2
ENSG00000196189,SEMA4A
ENSG00000248508,SRP14-AS1
ENSG00000112851,ERBIN
ENSG00000106070,GRB10
ENSG00000170876,TMEM43
ENSG00000182985,CADM1
ENSG00000204267,TAP2
ENSG00000135678,CPM
ENSG00000215251,FASTKD5
ENSG00000198835,GJC2
ENSG00000103485,QPRT
ENSG00000187122,SLIT1
ENSG00000178999,AURKB
ENSG00000122176,FMOD
ENSG00000140836,ZFHX3
ENSG00000167779,IGFBP6
ENSG00000215397,SCRT2
ENSG00000101871,MID1
ENSG00000166483,WEE1
ENSG00000100297,MCM5
ENSG00000198682,PAPSS2
ENSG00000173432,SAA1
ENSG00000169679,BUB1
ENSG00000234147,RP3-460G2.2
ENSG00000110436,SLC1A2
ENSG00000185262,UBALD2
ENSG00000134323,MYCN
ENSG00000050405,LIMA1
ENSG00000120594,PLXDC2
ENSG00000223749,MIR503HG
ENSG00000138185,ENTPD1
ENSG00000126759,CFP
ENSG00000183775,KCTD16
ENSG00000196361,ELAVL3
ENSG00000135838,NPL
ENSG00000163297,ANTXR2
ENSG00000145687,SSBP2
ENSG00000131732,ZCCHC9
ENSG00000180917,CMTR2
ENSG00000115548,KDM3A
ENSG00000226496,LINC00323
ENSG00000235194,PPP1R3E
ENSG00000164104,HMGB2
ENSG00000109062,SLC9A3R1
ENSG00000213420,GPC2
ENSG00000133069,TMCC2
ENSG00000163435,ELF3
ENSG00000197857,ZNF44
ENSG00000107438,PDLIM1
ENSG00000131711,MAP1B
ENSG00000164708,PGAM2
ENSG00000074317,SNCB
ENSG00000079616,KIF22
ENSG00000224032,EPB41L4A-AS1
ENSG00000107372,ZFAND5
ENSG00000198727,MT-CYB
ENSG00000272368,RP4-605O3.4
ENSG00000149489,ROM1
ENSG00000164300,SERINC5
ENSG00000112309,B3GAT2
ENSG00000125871,MGME1
ENSG00000177675,CD163L1
ENSG00000020426,MNAT1
ENSG00000145113,MUC4
ENSG00000163029,SMC6
ENSG00000197930,ERO1A
ENSG00000138193,PLCE1
ENSG00000185774,KCNIP4
ENSG00000124406,ATP8A1
ENSG00000163406,SLC15A2
ENSG00000100628,ASB2
ENSG00000070761,CFAP20
ENSG00000182472,CAPN12
ENSG00000164776,PHKG1
ENSG00000143344,RGL1
ENSG00000112379,ARFGEF3
ENSG00000175087,PDIK1L
ENSG00000185567,AHNAK2
ENSG00000150991,UBC
ENSG00000105383,CD33
ENSG00000012048,BRCA1
ENSG00000113263,ITK
ENSG00000196132,MYT1
ENSG00000103995,CEP152
ENSG00000166435,XRRA1
ENSG00000130338,TULP4
ENSG00000109323,MANBA
ENSG00000117643,MAN1C1
ENSG00000133657,ATP13A3
ENSG00000166592,RRAD
ENSG00000213203,GIMAP1
ENSG00000173372,C1QA
ENSG00000173334,TRIB1
ENSG00000166501,PRKCB
ENSG00000138166,DUSP5
ENSG00000129480,DTD2
ENSG00000124479,NDP
ENSG00000273702,RP11-758H9.2
ENSG00000079150,FKBP7
ENSG00000145241,CENPC
ENSG00000074410,CA12
ENSG00000203706,SERTAD4-AS1
ENSG00000134215,VAV3
ENSG00000161888,SPC24
ENSG00000104067,TJP1
ENSG00000187118,CMC1
ENSG00000197261,C6orf141
ENSG00000167552,TUBA1A
ENSG00000168556,ING2
ENSG00000125351,UPF3B
ENSG00000168421,RHOH
ENSG00000105612,DNASE2
ENSG00000059377,TBXAS1
ENSG00000180834,MAP6D1
ENSG00000167077,MEI1
ENSG00000138835,RGS3
ENSG00000152977,ZIC1
ENSG00000095794,CREM
ENSG00000215252,GOLGA8B
ENSG00000116016,EPAS1
ENSG00000163602,RYBP
ENSG00000005469,CROT
ENSG00000109255,NMU
ENSG00000124145,SDC4
ENSG00000117676,RPS6KA1
ENSG00000196428,TSC22D2
ENSG00000204390,HSPA1L
ENSG00000271576,RP11-486G15.2
ENSG00000264522,OTUD7B
ENSG00000151067,CACNA1C
ENSG00000134917,ADAMTS8
ENSG00000171451,DSEL
ENSG00000135679,MDM2
ENSG00000149534,MS4A2
ENSG00000135968,GCC2
ENSG00000183486,MX2
ENSG00000126861,OMG
ENSG00000129151,BBOX1
ENSG00000121060,TRIM25
ENSG00000118777,ABCG2
ENSG00000173276,ZBTB21
ENSG00000128242,GAL3ST1
ENSG00000179909,ZNF154
ENSG00000099860,GADD45B
ENSG00000113319,RASGRF2
ENSG00000120063,GNA13
ENSG00000273841,TAF9
ENSG00000184208,C22orf46
ENSG00000138735,PDE5A
ENSG00000188783,PRELP
ENSG00000235576,AC092580.4
ENSG00000030419,IKZF2
ENSG00000109680,TBC1D19
ENSG00000129244,ATP1B2
ENSG00000175183,CSRP2
ENSG00000150394,CDH8
ENSG00000134545,KLRC1
ENSG00000158747,NBL1
ENSG00000275302,CCL4
ENSG00000166394,CYB5R2
ENSG00000166579,NDEL1
ENSG00000101144,BMP7
ENSG00000106069,CHN2
ENSG00000188313,PLSCR1
ENSG00000164691,TAGAP
ENSG00000111371,SLC38A1
ENSG00000164761,TNFRSF11B
ENSG00000256128,LINC00944
ENSG00000256618,MTRNR2L1
ENSG00000079841,RIMS1
ENSG00000126822,PLEKHG3
ENSG00000101198,NKAIN4
ENSG00000082781,ITGB5
ENSG00000061987,MON2
ENSG00000132470,ITGB4
ENSG00000164406,LEAP2
ENSG00000162241,SLC25A45
ENSG00000089169,RPH3A
ENSG00000137807,KIF23
ENSG00000164649,CDCA7L
ENSG00000211896,IGHG1
ENSG00000142227,EMP3
ENSG00000143603,KCNN3
ENSG00000120696,KBTBD7
ENSG00000065809,FAM107B
ENSG00000248019,FAM13A-AS1
ENSG00000117222,RBBP5
ENSG00000091490,SEL1L3
ENSG00000008710,PKD1
ENSG00000099260,PALMD
ENSG00000118257,NRP2
ENSG00000119684,MLH3
ENSG00000073331,ALPK1
ENSG00000204130,RUFY2
ENSG00000110448,CD5
ENSG00000177663,IL17RA
ENSG00000115380,EFEMP1
ENSG00000168564,CDKN2AIP
ENSG00000198589,LRBA
ENSG00000140403,DNAJA4
ENSG00000106018,VIPR2
ENSG00000181409,AATK
ENSG00000105880,DLX5
ENSG00000134376,CRB1
ENSG00000254726,MEX3A
ENSG00000065413,ANKRD44
ENSG00000159958,TNFRSF13C
ENSG00000142192,APP
ENSG00000157985,AGAP1
ENSG00000100320,RBFOX2
ENSG00000166091,CMTM5
ENSG00000144559,TAMM41
ENSG00000162733,DDR2
ENSG00000135749,PCNX2
ENSG00000143384,MCL1
ENSG00000105486,LIG1
ENSG00000203485,INF2
ENSG00000251230,MIR3945HG
ENSG00000038382,TRIO
ENSG00000131242,RAB11FIP4
ENSG00000134245,WNT2B
ENSG00000119669,IRF2BPL
ENSG00000159685,CHCHD6
ENSG00000158296,SLC13A3
ENSG00000166508,MCM7
ENSG00000010282,HHATL
ENSG00000182253,SYNM
ENSG00000181449,SOX2
ENSG00000152784,PRDM8
ENSG00000184557,SOCS3
ENSG00000203965,EFCAB7
ENSG00000007545,CRAMP1
ENSG00000128016,ZFP36
ENSG00000174939,ASPHD1
ENSG00000279576,AP000769.1
ENSG00000137393,RNF144B
ENSG00000108389,MTMR4
ENSG00000261889,RP11-473M20.16
ENSG00000203780,FANK1
ENSG00000174721,FGFBP3
ENSG00000181690,PLAG1
ENSG00000157637,SLC38A10
ENSG00000164683,HEY1
ENSG00000188811,NHLRC3
ENSG00000135899,SP110
ENSG00000127920,GNG11
ENSG00000116285,ERRFI1
ENSG00000145721,LIX1
ENSG00000123485,HJURP
ENSG00000137403,HLA-F
ENSG00000119121,TRPM6
ENSG00000205810,KLRC3
ENSG00000102904,TSNAXIP1
ENSG00000120875,DUSP4
ENSG00000215048,HLA-DPB1
ENSG00000184898,RBM43
ENSG00000170542,SERPINB9
ENSG00000177106,EPS8L2
ENSG00000253457,SMIM18
ENSG00000105329,TGFB1
ENSG00000196586,MYO6
ENSG00000179604,CDC42EP4
ENSG00000143153,ATP1B1
ENSG00000178977,LINC00324
ENSG00000164627,KIF6
ENSG00000107731,UNC5B
ENSG00000204287,HLA-DRA
ENSG00000178602,OTOS
ENSG00000139318,DUSP6
ENSG00000119986,AVPI1
ENSG00000103150,MLYCD
ENSG00000174460,ZCCHC12
ENSG00000162873,KLHDC8A
ENSG00000144824,PHLDB2
ENSG00000237945,LINC00649
ENSG00000141526,SLC16A3
ENSG00000163517,HDAC11
ENSG00000187955,COL14A1
ENSG00000116106,EPHA4
ENSG00000006468,ETV1
ENSG00000145794,MEGF10
ENSG00000128159,TUBGCP6
ENSG00000197580,BCO2
ENSG00000134668,SPOCD1
ENSG00000127328,RAB3IP
ENSG00000163539,CLASP2
ENSG00000155085,AK9
ENSG00000169242,EFNA1
ENSG00000101265,RASSF2
ENSG00000047365,ARAP2
ENSG00000130513,GDF15
ENSG00000131446,MGAT1
ENSG00000186340,THBS2
ENSG00000114279,FGF12
ENSG00000122884,P4HA1
ENSG00000108381,ASPA
ENSG00000131437,KIF3A
ENSG00000229153,EPHA1-AS1
ENSG00000145779,TNFAIP8
ENSG00000159461,AMFR
ENSG00000100364,KIAA0930
ENSG00000049323,LTBP1
ENSG00000140471,LINS1
ENSG00000180914,OXTR
ENSG00000061273,HDAC7
ENSG00000110446,SLC15A3
ENSG00000011201,ANOS1
ENSG00000117408,IPO13
ENSG00000152256,PDK1
ENSG00000109220,CHIC2
ENSG00000170537,TMC7
ENSG00000104814,MAP4K1
ENSG00000182481,KPNA2
ENSG00000204128,C2orf72
ENSG00000078269,SYNJ2
ENSG00000083535,PIBF1
ENSG00000132781,MUTYH
ENSG00000127863,TNFRSF19
ENSG00000106565,TMEM176B
ENSG00000175906,ARL4D
ENSG00000126264,HCST
ENSG00000186439,TRDN
ENSG00000170775,GPR37
ENSG00000147642,SYBU
ENSG00000102878,HSF4
ENSG00000157557,ETS2
ENSG00000128872,TMOD2
ENSG00000133059,DSTYK
ENSG00000165959,CLMN
ENSG00000068366,ACSL4
ENSG00000137880,GCHFR
ENSG00000136630,HLX
ENSG00000044446,PHKA2
ENSG00000123607,TTC21B
ENSG00000204323,SMIM5
ENSG00000015592,STMN4
ENSG00000188706,ZDHHC9
ENSG00000127241,MASP1
ENSG00000111817,DSE
ENSG00000180739,S1PR5
ENSG00000102678,FGF9
ENSG00000172339,ALG14
ENSG00000180638,SLC47A2
ENSG00000143416,SELENBP1
ENSG00000225880,LINC00115
ENSG00000162490,DRAXIN
ENSG00000130522,JUND
ENSG00000101349,PAK5
ENSG00000135744,AGT
ENSG00000140939,NOL3
ENSG00000083454,P2RX5
ENSG00000054793,ATP9A
ENSG00000138757,G3BP2
ENSG00000136002,ARHGEF4
ENSG00000116675,DNAJC6
ENSG00000273274,ZBTB8B
ENSG00000173221,GLRX
ENSG00000154734,ADAMTS1
ENSG00000069424,KCNAB2
ENSG00000029993,HMGB3
ENSG00000148516,ZEB1
ENSG00000143851,PTPN7
ENSG00000179104,TMTC2
ENSG00000167191,GPRC5B
ENSG00000119535,CSF3R
ENSG00000146674,IGFBP3
ENSG00000138642,HERC6
ENSG00000166863,TAC3
ENSG00000152527,PLEKHH2
ENSG00000178950,GAK
ENSG00000152208,GRID2
ENSG00000104687,GSR
ENSG00000064989,CALCRL
ENSG00000164674,SYTL3
ENSG00000116017,ARID3A
ENSG00000092969,TGFB2
ENSG00000182492,BGN
ENSG00000182132,KCNIP1
ENSG00000157601,MX1
ENSG00000122952,ZWINT
ENSG00000213347,MXD3
ENSG00000239836,PSMB9
ENSG00000185361,TNFAIP8L1
ENSG00000083814,ZNF671
ENSG00000184545,DUSP8
ENSG00000105649,RAB3A
ENSG00000135686,KLHL36
ENSG00000118855,MFSD1
ENSG00000054598,FOXC1
ENSG00000188157,AGRN
ENSG00000175820,CCDC168
ENSG00000260428,SCX
ENSG00000064651,SLC12A2
ENSG00000151914,DST
ENSG00000151025,GPR158
ENSG00000123342,MMP19
ENSG00000130150,MOSPD2
ENSG00000099204,ABLIM1
ENSG00000173706,HEG1
ENSG00000127507,ADGRE2
ENSG00000077152,UBE2T
ENSG00000143633,C1orf131
ENSG00000048540,LMO3
ENSG00000171885,AQP4
ENSG00000043355,ZIC2
ENSG00000151012,SLC7A11
ENSG00000145358,DDIT4L
ENSG00000135916,ITM2C
ENSG00000130303,BST2
ENSG00000088387,DOCK9
ENSG00000130294,KIF1A
ENSG00000129538,RNASE1
ENSG00000157734,SNX22
ENSG00000174842,GLMN
ENSG00000257315,ZBED6
ENSG00000123094,RASSF8
ENSG00000063660,GPC1
ENSG00000067057,PFKP
ENSG00000146757,ZNF92
ENSG00000146414,SHPRH
ENSG00000150093,ITGB1
ENSG00000114626,ABTB1
ENSG00000179163,FUCA1
ENSG00000150995,ITPR1
ENSG00000136267,DGKB
ENSG00000049246,PER3
ENSG00000276085,CCL3L3
ENSG00000059378,PARP12
ENSG00000101412,E2F1
ENSG00000169756,LIMS1
ENSG00000171503,ETFDH
ENSG00000275385,CCL18
ENSG00000124440,HIF3A
ENSG00000106799,TGFBR1
ENSG00000100307,CBX7
ENSG00000105538,RASIP1
ENSG00000180488,MIGA1
ENSG00000104093,DMXL2
ENSG00000230537,RP11-305L7.1
ENSG00000276216,CH17-373J23.1
ENSG00000187193,MT1X
ENSG00000137331,IER3
ENSG00000151657,KIN
ENSG00000139668,WDFY2
ENSG00000167281,RBFOX3
ENSG00000117480,FAAH
ENSG00000179348,GATA2
ENSG00000163131,CTSS
ENSG00000128564,VGF
ENSG00000101311,FERMT1
ENSG00000141441,GAREM1
ENSG00000104635,SLC39A14
ENSG00000170421,KRT8
ENSG00000188643,S100A16
ENSG00000128641,MYO1B
ENSG00000143418,CERS2
ENSG00000276043,UHRF1
ENSG00000120251,GRIA2
ENSG00000178971,CTC1
ENSG00000153814,JAZF1
ENSG00000142408,CACNG8
ENSG00000137720,C11orf1
ENSG00000173875,ZNF791
ENSG00000018625,ATP1A2
ENSG00000266714,MYO15B
ENSG00000134061,CD180
ENSG00000153879,CEBPG
ENSG00000198793,MTOR
ENSG00000064042,LIMCH1
ENSG00000154655,L3MBTL4
ENSG00000118640,VAMP8
ENSG00000144711,IQSEC1
ENSG00000011422,PLAUR
ENSG00000167680,SEMA6B
ENSG00000077782,FGFR1
ENSG00000168309,FAM107A
ENSG00000103888,CEMIP
ENSG00000170500,LONRF2
ENSG00000125931,CITED1
ENSG00000064012,CASP8
ENSG00000143110,C1orf162
ENSG00000196323,ZBTB44
ENSG00000087494,PTHLH
ENSG00000138650,PCDH10
ENSG00000137309,HMGA1
ENSG00000162576,MXRA8
ENSG00000204131,NHSL2
ENSG00000184575,XPOT
ENSG00000099953,MMP11
ENSG00000188687,SLC4A5
ENSG00000026652,AGPAT4
ENSG00000090238,YPEL3
ENSG00000071575,TRIB2
ENSG00000152137,HSPB8
ENSG00000221869,CEBPD
ENSG00000006740,ARHGAP44
ENSG00000164309,CMYA5
ENSG00000111341,MGP
ENSG00000120647,CCDC77
ENSG00000101439,CST3
ENSG00000173137,ADCK5
ENSG00000149573,MPZL2
ENSG00000142949,PTPRF
ENSG00000117152,RGS4
ENSG00000111674,ENO2
ENSG00000198040,ZNF84
ENSG00000131771,PPP1R1B
ENSG00000198938,MT-CO3
ENSG00000196653,ZNF502
ENSG00000163694,RBM47
ENSG00000095970,TREM2
ENSG00000109794,FAM149A
ENSG00000163629,PTPN13
ENSG00000204262,COL5A2
ENSG00000176438,SYNE3
ENSG00000172461,FUT9
ENSG00000154589,LY96
ENSG00000198914,POU3F3
ENSG00000003436,TFPI
ENSG00000113578,FGF1
ENSG00000171617,ENC1
ENSG00000164114,MAP9
ENSG00000186310,NAP1L3
ENSG00000146005,PSD2
ENSG00000150401,DCUN1D2
ENSG00000058668,ATP2B4
ENSG00000050165,DKK3
ENSG00000163734,CXCL3
ENSG00000141934,PLPP2
ENSG00000170891,CYTL1
ENSG00000100906,NFKBIA
ENSG00000128266,GNAZ
ENSG00000112312,GMNN
ENSG00000198597,ZNF536
ENSG00000178878,APOLD1
ENSG00000114861,FOXP1
ENSG00000197779,ZNF81
ENSG00000163380,LMOD3
ENSG00000004478,FKBP4
ENSG00000153253,SCN3A
ENSG00000140400,MAN2C1
ENSG00000085514,PILRA
ENSG00000113851,CRBN
ENSG00000101489,CELF4
ENSG00000162616,DNAJB4
ENSG00000182957,SPATA13
ENSG00000196664,TLR7
ENSG00000198208,RPS6KL1
ENSG00000138814,PPP3CA
ENSG00000272211,RP11-347P5.1
ENSG00000106278,PTPRZ1
ENSG00000082512,TRAF5
ENSG00000213463,SYNJ2BP
ENSG00000099308,MAST3
ENSG00000073605,GSDMB
ENSG00000147872,PLIN2
ENSG00000107742,SPOCK2
ENSG00000132334,PTPRE
ENSG00000127528,KLF2
ENSG00000124602,UNC5CL
ENSG00000130988,RGN
ENSG00000235098,ANKRD65
ENSG00000170175,CHRNB1
ENSG00000099337,KCNK6
ENSG00000065621,GSTO2
ENSG00000179292,TMEM151A
ENSG00000151746,BICD1
ENSG00000149311,ATM
ENSG00000273780,ARHGAP23
ENSG00000104290,FZD3
ENSG00000147082,CCNB3
ENSG00000126878,AIF1L
ENSG00000173230,GOLGB1
ENSG00000100979,PLTP
ENSG00000234608,MAPKAPK5-AS1
ENSG00000183741,CBX6
ENSG00000119640,ACYP1
ENSG00000176533,GNG7
ENSG00000163162,RNF149
ENSG00000171659,GPR34
ENSG00000123243,ITIH5
ENSG00000198355,PIM3
ENSG00000150687,PRSS23
ENSG00000174652,ZNF266
ENSG00000206579,XKR4
ENSG00000103196,CRISPLD2
ENSG00000101353,MROH8
ENSG00000186231,KLHL32
ENSG00000132704,FCRL2
ENSG00000205809,KLRC2
ENSG00000165434,PGM2L1
ENSG00000088881,EBF4
ENSG00000151150,ANK3
ENSG00000170606,HSPA4
ENSG00000017483,SLC38A5
ENSG00000135298,ADGRB3
ENSG00000064687,ABCA7
ENSG00000271204,RP11-138A9.1
ENSG00000030582,GRN
ENSG00000102445,RUBCNL
ENSG00000069482,GAL
ENSG00000077264,PAK3
ENSG00000119778,ATAD2B
ENSG00000107902,LHPP
ENSG00000010379,SLC6A13
ENSG00000196950,SLC39A10
ENSG00000145012,LPP
ENSG00000105854,PON2
ENSG00000116661,FBXO2
ENSG00000163531,NFASC
ENSG00000109670,FBXW7
ENSG00000148773,MKI67
ENSG00000109906,ZBTB16
ENSG00000052795,FNIP2
ENSG00000115687,PASK
ENSG00000188674,C2orf80
ENSG00000067141,NEO1
ENSG00000189190,ZNF600
ENSG00000151883,PARP8
ENSG00000103274,NUBP1
ENSG00000140749,IGSF6
ENSG00000189180,ZNF33A
ENSG00000134324,LPIN1
ENSG00000091513,TF
ENSG00000274422,LL22NC03-2H8.5
ENSG00000130787,HIP1R
ENSG00000163823,CCR1
ENSG00000157445,CACNA2D3
ENSG00000130429,ARPC1B
ENSG00000115648,MLPH
ENSG00000122584,NXPH1
ENSG00000066084,DIP2B
ENSG00000180806,HOXC9
ENSG00000125740,FOSB
ENSG00000134121,CHL1
ENSG00000075407,ZNF37A
ENSG00000119938,PPP1R3C
ENSG00000163364,LINC01116
ENSG00000172296,SPTLC3
ENSG00000169129,AFAP1L2
ENSG00000133878,DUSP26
ENSG00000063015,SEZ6
ENSG00000163512,AZI2
ENSG00000183150,GPR19
ENSG00000169908,TM4SF1
ENSG00000100219,XBP1
ENSG00000111581,NUP107
ENSG00000186130,ZBTB6
ENSG00000141458,NPC1
ENSG00000106415,GLCCI1
ENSG00000108821,COL1A1
ENSG00000177707,NECTIN3
ENSG00000072832,CRMP1
ENSG00000136404,TM6SF1
ENSG00000197405,C5AR1
ENSG00000110172,CHORDC1
ENSG00000136717,BIN1
ENSG00000202515,VTRNA1-3
ENSG00000147162,OGT
ENSG00000140575,IQGAP1
ENSG00000090013,BLVRB
ENSG00000197471,SPN
ENSG00000157851,DPYSL5
ENSG00000167258,CDK12
ENSG00000248184,RP11-231C18.1
ENSG00000125247,TMTC4
ENSG00000156103,MMP16
ENSG00000167615,LENG8
ENSG00000183196,CHST6
ENSG00000183742,MACC1
ENSG00000179119,SPTY2D1
ENSG00000198888,MT-ND1
ENSG00000136250,AOAH
ENSG00000159445,THEM4
ENSG00000162772,ATF3
ENSG00000144136,SLC20A1
ENSG00000068079,IFI35
ENSG00000135046,ANXA1
ENSG00000077238,IL4R
ENSG00000240038,AMY2B
ENSG00000087245,MMP2
ENSG00000131504,DIAPH1
ENSG00000269028,MTRNR2L12
ENSG00000236939,BAALC-AS2
ENSG00000234432,RP11-1275H24.1
ENSG00000277586,NEFL
ENSG00000129968,ABHD17A
ENSG00000146278,PNRC1
ENSG00000162975,KCNF1
ENSG00000096996,IL12RB1
ENSG00000181896,ZNF101
ENSG00000101391,CDK5RAP1
ENSG00000128596,CCDC136
ENSG00000179388,EGR3
ENSG00000197969,VPS13A
ENSG00000129071,MBD4
ENSG00000174456,C12orf76
ENSG00000114670,NEK11
ENSG00000221883,ARIH2OS
ENSG00000137571,SLCO5A1
ENSG00000119906,SLF2
ENSG00000107104,KANK1
ENSG00000104951,IL4I1
ENSG00000198246,SLC29A3
ENSG00000132823,OSER1
ENSG00000182118,FAM89A
ENSG00000174738,NR1D2
ENSG00000125352,RNF113A
ENSG00000007237,GAS7
ENSG00000206314,GPSM3
ENSG00000149564,ESAM
ENSG00000168386,FILIP1L
ENSG00000175497,DPP10
ENSG00000160336,ZNF761
ENSG00000183960,KCNH8
ENSG00000133134,BEX2
ENSG00000169403,PTAFR
ENSG00000070669,ASNS
ENSG00000116741,RGS2
ENSG00000076706,MCAM
ENSG00000168234,TTC39C
ENSG00000173110,HSPA6
ENSG00000130816,DNMT1
ENSG00000187498,COL4A1
ENSG00000174501,ANKRD36C
ENSG00000141258,SGSM2
ENSG00000171388,APLN
ENSG00000061337,LZTS1
ENSG00000125398,SOX9
ENSG00000130844,ZNF331
ENSG00000213088,ACKR1
ENSG00000100234,TIMP3
ENSG00000274221,CCL3
ENSG00000163453,IGFBP7
