ensmbl
TRIM63,ENSG00000158022
CRYBB1,ENSG00000100122
ULK1,ENSG00000177169
SYP,ENSG00000102003
CCDC146,ENSG00000135205
FTL,ENSG00000087086
USP15,ENSG00000135655
SLC15A4,ENSG00000139370
CYP3A5,ENSG00000106258
FCGRT,ENSG00000104870
CYBRD1,ENSG00000071967
ZNRF3-AS1,ENSG00000177993
RAB11FIP1,ENSG00000156675
SPON1,ENSG00000262655
PDLIM4,ENSG00000131435
HAPLN1,ENSG00000145681
CLCF1,ENSG00000175505
CORO2B,ENSG00000103647
ADAMTS9,ENSG00000163638
PCOLCE2,ENSG00000163710
DPYSL3,ENSG00000113657
C1S,ENSG00000182326
BASP1,ENSG00000176788
PTPRD,ENSG00000153707
NCK2,ENSG00000071051
USP53,ENSG00000145390
S100A4,ENSG00000196154
CCK,ENSG00000187094
EPO,ENSG00000130427
FABP3,ENSG00000121769
PLIN5,ENSG00000214456
MOK,ENSG00000080823
LLGL1,ENSG00000131899
FNIP1,ENSG00000217128
INO80D,ENSG00000114933
JADE2,ENSG00000043143
GNPTAB,ENSG00000111670
ORC6,ENSG00000091651
N4BP2,ENSG00000078177
SLC9A9,ENSG00000181804
APLNR,ENSG00000134817
LINC01235,ENSG00000270547
FAM215B,ENSG00000232300
MT-CO2,ENSG00000198712
C21orf62,ENSG00000205929
SRGAP2,ENSG00000266028
ID4,ENSG00000172201
LANCL1,ENSG00000115365
TMEM154,ENSG00000170006
RUNX2,ENSG00000124813
HACD4,ENSG00000188921
CEBPZ,ENSG00000115816
CDC14B,ENSG00000081377
ITGA5,ENSG00000161638
ITPRIPL1,ENSG00000198885
USP37,ENSG00000135913
FAM189A2,ENSG00000135063
MT-ATP8,ENSG00000228253
LIPE,ENSG00000079435
ARHGAP27,ENSG00000159314
TDRD3,ENSG00000083544
PLEKHO2,ENSG00000241839
TIE1,ENSG00000066056
BCL2,ENSG00000171791
CLSPN,ENSG00000092853
ZBP1,ENSG00000124256
OCIAD2,ENSG00000145247
CCNE2,ENSG00000175305
DICER1-AS1,ENSG00000235706
MAF,ENSG00000178573
MAPRE2,ENSG00000166974
PDE7A,ENSG00000205268
FAXDC2,ENSG00000170271
ST6GAL1,ENSG00000073849
TMEM132C,ENSG00000181234
DCLRE1C,ENSG00000152457
STX4,ENSG00000103496
CD6,ENSG00000013725
BRINP2,ENSG00000198797
LEF1,ENSG00000138795
PPP1R15A,ENSG00000087074
PRKCQ-AS1,ENSG00000237943
TKTL1,ENSG00000007350
ADCYAP1R1,ENSG00000078549
CX3CL1,ENSG00000006210
HDAC4,ENSG00000068024
ZNF26,ENSG00000198393
KCNE4,ENSG00000152049
SDCBP2-AS1,ENSG00000234684
BTBD8,ENSG00000189195
TM4SF18,ENSG00000163762
ANG,ENSG00000214274
ATP11B,ENSG00000058063
SUPT3H,ENSG00000196284
ALOX5AP,ENSG00000132965
SCARA3,ENSG00000168077
PLEK2,ENSG00000100558
LRIF1,ENSG00000121931
MBNL2,ENSG00000139793
RGP1,ENSG00000107185
CLIP1,ENSG00000130779
TMEM91,ENSG00000142046
TMEM132B,ENSG00000139364
NIN,ENSG00000100503
CEBPB,ENSG00000172216
KAT2B,ENSG00000114166
ANKRD36B,ENSG00000196912
LGALS3BP,ENSG00000108679
EMX2,ENSG00000170370
SNRK,ENSG00000163788
PDZD2,ENSG00000133401
NFKBID,ENSG00000167604
ADGRL1,ENSG00000072071
AMT,ENSG00000145020
FIBIN,ENSG00000176971
MYCL,ENSG00000116990
LAPTM5,ENSG00000162511
ZNF700,ENSG00000196757
C1R,ENSG00000159403
CERCAM,ENSG00000167123
CD53,ENSG00000143119
NUMB,ENSG00000133961
FAM180A,ENSG00000189320
SPAG8,ENSG00000137098
CDH13,ENSG00000140945
MRC2,ENSG00000011028
HSPD1,ENSG00000144381
CECR2,ENSG00000099954
SERPINA3,ENSG00000196136
DDX60,ENSG00000137628
FRMD6-AS1,ENSG00000273888
LINC01550,ENSG00000246223
LMNB1,ENSG00000113368
BTBD7,ENSG00000011114
NGFR,ENSG00000064300
SEZ6L2,ENSG00000174938
RLBP1,ENSG00000140522
FAM102A,ENSG00000167106
CXCL16,ENSG00000161921
GLA,ENSG00000102393
MAP1A,ENSG00000166963
ROBO2,ENSG00000185008
SEPSECS,ENSG00000109618
KCNK12,ENSG00000184261
ADCY5,ENSG00000173175
NPW,ENSG00000183971
INPP5D,ENSG00000168918
MAPK6,ENSG00000069956
NMT2,ENSG00000152465
STAT2,ENSG00000170581
FNTB,ENSG00000257365
NFATC2,ENSG00000101096
PRRG1,ENSG00000130962
MAN1A1,ENSG00000111885
SYTL1,ENSG00000142765
GALNT3,ENSG00000115339
ARHGAP4,ENSG00000089820
RAPGEF3,ENSG00000079337
INTS6,ENSG00000102786
COL4A2,ENSG00000134871
PDE2A,ENSG00000186642
HLF,ENSG00000108924
LINC01549,ENSG00000232560
PAX5,ENSG00000196092
SBF1,ENSG00000100241
LCNL1,ENSG00000214402
NTN4,ENSG00000074527
FLI1,ENSG00000151702
IL6R,ENSG00000160712
TMX4,ENSG00000125827
MPP2,ENSG00000108852
EPS8,ENSG00000151491
RHBDF2,ENSG00000129667
SLC1A5,ENSG00000105281
GYG1,ENSG00000163754
SLC24A2,ENSG00000155886
PDE4DIP,ENSG00000178104
ABL2,ENSG00000143322
IFI27,ENSG00000165949
PPP1R10,ENSG00000204569
IFI6,ENSG00000126709
STXBP2,ENSG00000076944
POLG2,ENSG00000256525
FOXJ1,ENSG00000129654
PTPRB,ENSG00000127329
GPM6A,ENSG00000150625
INSIG1,ENSG00000186480
DLX1,ENSG00000144355
TBC1D12,ENSG00000108239
ZNF503,ENSG00000165655
CA9,ENSG00000107159
DBF4,ENSG00000006634
FCGR2A,ENSG00000143226
PDGFRB,ENSG00000113721
PPFIBP1,ENSG00000110841
SLC16A1-AS1,ENSG00000226419
NRBP2,ENSG00000185189
SEMA4A,ENSG00000196189
SRP14-AS1,ENSG00000248508
ERBIN,ENSG00000112851
GRB10,ENSG00000106070
TMEM43,ENSG00000170876
CADM1,ENSG00000182985
TAP2,ENSG00000204267
CPM,ENSG00000135678
FASTKD5,ENSG00000215251
GJC2,ENSG00000198835
QPRT,ENSG00000103485
SLIT1,ENSG00000187122
AURKB,ENSG00000178999
FMOD,ENSG00000122176
ZFHX3,ENSG00000140836
IGFBP6,ENSG00000167779
SCRT2,ENSG00000215397
MID1,ENSG00000101871
WEE1,ENSG00000166483
MCM5,ENSG00000100297
PAPSS2,ENSG00000198682
SAA1,ENSG00000173432
BUB1,ENSG00000169679
RP3-460G2.2,ENSG00000234147
SLC1A2,ENSG00000110436
UBALD2,ENSG00000185262
MYCN,ENSG00000134323
LIMA1,ENSG00000050405
PLXDC2,ENSG00000120594
MIR503HG,ENSG00000223749
ENTPD1,ENSG00000138185
CFP,ENSG00000126759
KCTD16,ENSG00000183775
ELAVL3,ENSG00000196361
NPL,ENSG00000135838
ANTXR2,ENSG00000163297
SSBP2,ENSG00000145687
ZCCHC9,ENSG00000131732
CMTR2,ENSG00000180917
KDM3A,ENSG00000115548
LINC00323,ENSG00000226496
PPP1R3E,ENSG00000235194
HMGB2,ENSG00000164104
SLC9A3R1,ENSG00000109062
GPC2,ENSG00000213420
TMCC2,ENSG00000133069
ELF3,ENSG00000163435
ZNF44,ENSG00000197857
PDLIM1,ENSG00000107438
MAP1B,ENSG00000131711
PGAM2,ENSG00000164708
SNCB,ENSG00000074317
KIF22,ENSG00000079616
EPB41L4A-AS1,ENSG00000224032
ZFAND5,ENSG00000107372
MT-CYB,ENSG00000198727
RP4-605O3.4,ENSG00000272368
ROM1,ENSG00000149489
SERINC5,ENSG00000164300
B3GAT2,ENSG00000112309
MGME1,ENSG00000125871
CD163L1,ENSG00000177675
MNAT1,ENSG00000020426
MUC4,ENSG00000145113
SMC6,ENSG00000163029
ERO1A,ENSG00000197930
PLCE1,ENSG00000138193
KCNIP4,ENSG00000185774
ATP8A1,ENSG00000124406
SLC15A2,ENSG00000163406
ASB2,ENSG00000100628
CFAP20,ENSG00000070761
CAPN12,ENSG00000182472
PHKG1,ENSG00000164776
RGL1,ENSG00000143344
ARFGEF3,ENSG00000112379
PDIK1L,ENSG00000175087
AHNAK2,ENSG00000185567
UBC,ENSG00000150991
CD33,ENSG00000105383
BRCA1,ENSG00000012048
ITK,ENSG00000113263
MYT1,ENSG00000196132
CEP152,ENSG00000103995
XRRA1,ENSG00000166435
TULP4,ENSG00000130338
MANBA,ENSG00000109323
MAN1C1,ENSG00000117643
ATP13A3,ENSG00000133657
RRAD,ENSG00000166592
GIMAP1,ENSG00000213203
C1QA,ENSG00000173372
TRIB1,ENSG00000173334
PRKCB,ENSG00000166501
DUSP5,ENSG00000138166
DTD2,ENSG00000129480
NDP,ENSG00000124479
RP11-758H9.2,ENSG00000273702
FKBP7,ENSG00000079150
CENPC,ENSG00000145241
CA12,ENSG00000074410
SERTAD4-AS1,ENSG00000203706
VAV3,ENSG00000134215
SPC24,ENSG00000161888
TJP1,ENSG00000104067
CMC1,ENSG00000187118
C6orf141,ENSG00000197261
TUBA1A,ENSG00000167552
ING2,ENSG00000168556
UPF3B,ENSG00000125351
RHOH,ENSG00000168421
DNASE2,ENSG00000105612
TBXAS1,ENSG00000059377
MAP6D1,ENSG00000180834
MEI1,ENSG00000167077
RGS3,ENSG00000138835
ZIC1,ENSG00000152977
CREM,ENSG00000095794
GOLGA8B,ENSG00000215252
EPAS1,ENSG00000116016
RYBP,ENSG00000163602
CROT,ENSG00000005469
NMU,ENSG00000109255
SDC4,ENSG00000124145
RPS6KA1,ENSG00000117676
TSC22D2,ENSG00000196428
HSPA1L,ENSG00000204390
RP11-486G15.2,ENSG00000271576
OTUD7B,ENSG00000264522
CACNA1C,ENSG00000151067
ADAMTS8,ENSG00000134917
DSEL,ENSG00000171451
MDM2,ENSG00000135679
MS4A2,ENSG00000149534
GCC2,ENSG00000135968
MX2,ENSG00000183486
OMG,ENSG00000126861
BBOX1,ENSG00000129151
TRIM25,ENSG00000121060
ABCG2,ENSG00000118777
ZBTB21,ENSG00000173276
GAL3ST1,ENSG00000128242
ZNF154,ENSG00000179909
GADD45B,ENSG00000099860
RASGRF2,ENSG00000113319
GNA13,ENSG00000120063
TAF9,ENSG00000273841
C22orf46,ENSG00000184208
PDE5A,ENSG00000138735
PRELP,ENSG00000188783
AC092580.4,ENSG00000235576
IKZF2,ENSG00000030419
TBC1D19,ENSG00000109680
ATP1B2,ENSG00000129244
CSRP2,ENSG00000175183
CDH8,ENSG00000150394
KLRC1,ENSG00000134545
NBL1,ENSG00000158747
CCL4,ENSG00000275302
CYB5R2,ENSG00000166394
NDEL1,ENSG00000166579
BMP7,ENSG00000101144
CHN2,ENSG00000106069
PLSCR1,ENSG00000188313
TAGAP,ENSG00000164691
SLC38A1,ENSG00000111371
TNFRSF11B,ENSG00000164761
LINC00944,ENSG00000256128
MTRNR2L1,ENSG00000256618
RIMS1,ENSG00000079841
PLEKHG3,ENSG00000126822
NKAIN4,ENSG00000101198
ITGB5,ENSG00000082781
MON2,ENSG00000061987
ITGB4,ENSG00000132470
LEAP2,ENSG00000164406
SLC25A45,ENSG00000162241
RPH3A,ENSG00000089169
KIF23,ENSG00000137807
CDCA7L,ENSG00000164649
IGHG1,ENSG00000211896
EMP3,ENSG00000142227
KCNN3,ENSG00000143603
KBTBD7,ENSG00000120696
FAM107B,ENSG00000065809
FAM13A-AS1,ENSG00000248019
RBBP5,ENSG00000117222
SEL1L3,ENSG00000091490
PKD1,ENSG00000008710
PALMD,ENSG00000099260
NRP2,ENSG00000118257
MLH3,ENSG00000119684
ALPK1,ENSG00000073331
RUFY2,ENSG00000204130
CD5,ENSG00000110448
IL17RA,ENSG00000177663
EFEMP1,ENSG00000115380
CDKN2AIP,ENSG00000168564
LRBA,ENSG00000198589
DNAJA4,ENSG00000140403
VIPR2,ENSG00000106018
AATK,ENSG00000181409
DLX5,ENSG00000105880
CRB1,ENSG00000134376
MEX3A,ENSG00000254726
ANKRD44,ENSG00000065413
TNFRSF13C,ENSG00000159958
APP,ENSG00000142192
AGAP1,ENSG00000157985
RBFOX2,ENSG00000100320
CMTM5,ENSG00000166091
TAMM41,ENSG00000144559
DDR2,ENSG00000162733
PCNX2,ENSG00000135749
MCL1,ENSG00000143384
LIG1,ENSG00000105486
INF2,ENSG00000203485
MIR3945HG,ENSG00000251230
TRIO,ENSG00000038382
RAB11FIP4,ENSG00000131242
WNT2B,ENSG00000134245
IRF2BPL,ENSG00000119669
CHCHD6,ENSG00000159685
SLC13A3,ENSG00000158296
MCM7,ENSG00000166508
HHATL,ENSG00000010282
SYNM,ENSG00000182253
SOX2,ENSG00000181449
PRDM8,ENSG00000152784
SOCS3,ENSG00000184557
EFCAB7,ENSG00000203965
CRAMP1,ENSG00000007545
ZFP36,ENSG00000128016
ASPHD1,ENSG00000174939
AP000769.1,ENSG00000279576
RNF144B,ENSG00000137393
MTMR4,ENSG00000108389
RP11-473M20.16,ENSG00000261889
FANK1,ENSG00000203780
FGFBP3,ENSG00000174721
PLAG1,ENSG00000181690
SLC38A10,ENSG00000157637
HEY1,ENSG00000164683
NHLRC3,ENSG00000188811
SP110,ENSG00000135899
GNG11,ENSG00000127920
ERRFI1,ENSG00000116285
LIX1,ENSG00000145721
HJURP,ENSG00000123485
HLA-F,ENSG00000137403
TRPM6,ENSG00000119121
KLRC3,ENSG00000205810
TSNAXIP1,ENSG00000102904
DUSP4,ENSG00000120875
HLA-DPB1,ENSG00000215048
RBM43,ENSG00000184898
SERPINB9,ENSG00000170542
EPS8L2,ENSG00000177106
SMIM18,ENSG00000253457
TGFB1,ENSG00000105329
MYO6,ENSG00000196586
CDC42EP4,ENSG00000179604
ATP1B1,ENSG00000143153
LINC00324,ENSG00000178977
KIF6,ENSG00000164627
UNC5B,ENSG00000107731
HLA-DRA,ENSG00000204287
OTOS,ENSG00000178602
DUSP6,ENSG00000139318
AVPI1,ENSG00000119986
MLYCD,ENSG00000103150
ZCCHC12,ENSG00000174460
KLHDC8A,ENSG00000162873
PHLDB2,ENSG00000144824
LINC00649,ENSG00000237945
SLC16A3,ENSG00000141526
HDAC11,ENSG00000163517
COL14A1,ENSG00000187955
EPHA4,ENSG00000116106
ETV1,ENSG00000006468
MEGF10,ENSG00000145794
TUBGCP6,ENSG00000128159
BCO2,ENSG00000197580
SPOCD1,ENSG00000134668
RAB3IP,ENSG00000127328
CLASP2,ENSG00000163539
AK9,ENSG00000155085
EFNA1,ENSG00000169242
RASSF2,ENSG00000101265
ARAP2,ENSG00000047365
GDF15,ENSG00000130513
MGAT1,ENSG00000131446
THBS2,ENSG00000186340
FGF12,ENSG00000114279
P4HA1,ENSG00000122884
ASPA,ENSG00000108381
KIF3A,ENSG00000131437
EPHA1-AS1,ENSG00000229153
TNFAIP8,ENSG00000145779
AMFR,ENSG00000159461
KIAA0930,ENSG00000100364
LTBP1,ENSG00000049323
LINS1,ENSG00000140471
OXTR,ENSG00000180914
HDAC7,ENSG00000061273
SLC15A3,ENSG00000110446
ANOS1,ENSG00000011201
IPO13,ENSG00000117408
PDK1,ENSG00000152256
CHIC2,ENSG00000109220
TMC7,ENSG00000170537
MAP4K1,ENSG00000104814
KPNA2,ENSG00000182481
C2orf72,ENSG00000204128
SYNJ2,ENSG00000078269
PIBF1,ENSG00000083535
MUTYH,ENSG00000132781
TNFRSF19,ENSG00000127863
TMEM176B,ENSG00000106565
ARL4D,ENSG00000175906
HCST,ENSG00000126264
TRDN,ENSG00000186439
GPR37,ENSG00000170775
SYBU,ENSG00000147642
HSF4,ENSG00000102878
ETS2,ENSG00000157557
TMOD2,ENSG00000128872
DSTYK,ENSG00000133059
CLMN,ENSG00000165959
ACSL4,ENSG00000068366
GCHFR,ENSG00000137880
HLX,ENSG00000136630
PHKA2,ENSG00000044446
TTC21B,ENSG00000123607
SMIM5,ENSG00000204323
STMN4,ENSG00000015592
ZDHHC9,ENSG00000188706
MASP1,ENSG00000127241
DSE,ENSG00000111817
S1PR5,ENSG00000180739
FGF9,ENSG00000102678
ALG14,ENSG00000172339
SLC47A2,ENSG00000180638
SELENBP1,ENSG00000143416
LINC00115,ENSG00000225880
DRAXIN,ENSG00000162490
JUND,ENSG00000130522
PAK5,ENSG00000101349
AGT,ENSG00000135744
NOL3,ENSG00000140939
P2RX5,ENSG00000083454
ATP9A,ENSG00000054793
G3BP2,ENSG00000138757
ARHGEF4,ENSG00000136002
DNAJC6,ENSG00000116675
ZBTB8B,ENSG00000273274
GLRX,ENSG00000173221
ADAMTS1,ENSG00000154734
KCNAB2,ENSG00000069424
HMGB3,ENSG00000029993
ZEB1,ENSG00000148516
PTPN7,ENSG00000143851
TMTC2,ENSG00000179104
GPRC5B,ENSG00000167191
CSF3R,ENSG00000119535
IGFBP3,ENSG00000146674
HERC6,ENSG00000138642
TAC3,ENSG00000166863
PLEKHH2,ENSG00000152527
GAK,ENSG00000178950
GRID2,ENSG00000152208
GSR,ENSG00000104687
CALCRL,ENSG00000064989
SYTL3,ENSG00000164674
ARID3A,ENSG00000116017
TGFB2,ENSG00000092969
BGN,ENSG00000182492
KCNIP1,ENSG00000182132
MX1,ENSG00000157601
ZWINT,ENSG00000122952
MXD3,ENSG00000213347
PSMB9,ENSG00000239836
TNFAIP8L1,ENSG00000185361
ZNF671,ENSG00000083814
DUSP8,ENSG00000184545
RAB3A,ENSG00000105649
KLHL36,ENSG00000135686
MFSD1,ENSG00000118855
FOXC1,ENSG00000054598
AGRN,ENSG00000188157
CCDC168,ENSG00000175820
SCX,ENSG00000260428
SLC12A2,ENSG00000064651
DST,ENSG00000151914
GPR158,ENSG00000151025
MMP19,ENSG00000123342
MOSPD2,ENSG00000130150
ABLIM1,ENSG00000099204
HEG1,ENSG00000173706
ADGRE2,ENSG00000127507
UBE2T,ENSG00000077152
C1orf131,ENSG00000143633
LMO3,ENSG00000048540
AQP4,ENSG00000171885
ZIC2,ENSG00000043355
SLC7A11,ENSG00000151012
DDIT4L,ENSG00000145358
ITM2C,ENSG00000135916
BST2,ENSG00000130303
DOCK9,ENSG00000088387
KIF1A,ENSG00000130294
RNASE1,ENSG00000129538
SNX22,ENSG00000157734
GLMN,ENSG00000174842
ZBED6,ENSG00000257315
RASSF8,ENSG00000123094
GPC1,ENSG00000063660
PFKP,ENSG00000067057
ZNF92,ENSG00000146757
SHPRH,ENSG00000146414
ITGB1,ENSG00000150093
ABTB1,ENSG00000114626
FUCA1,ENSG00000179163
ITPR1,ENSG00000150995
DGKB,ENSG00000136267
PER3,ENSG00000049246
CCL3L3,ENSG00000276085
PARP12,ENSG00000059378
E2F1,ENSG00000101412
LIMS1,ENSG00000169756
ETFDH,ENSG00000171503
CCL18,ENSG00000275385
HIF3A,ENSG00000124440
TGFBR1,ENSG00000106799
CBX7,ENSG00000100307
RASIP1,ENSG00000105538
MIGA1,ENSG00000180488
DMXL2,ENSG00000104093
RP11-305L7.1,ENSG00000230537
CH17-373J23.1,ENSG00000276216
MT1X,ENSG00000187193
IER3,ENSG00000137331
KIN,ENSG00000151657
WDFY2,ENSG00000139668
RBFOX3,ENSG00000167281
FAAH,ENSG00000117480
GATA2,ENSG00000179348
CTSS,ENSG00000163131
VGF,ENSG00000128564
FERMT1,ENSG00000101311
GAREM1,ENSG00000141441
SLC39A14,ENSG00000104635
KRT8,ENSG00000170421
S100A16,ENSG00000188643
MYO1B,ENSG00000128641
CERS2,ENSG00000143418
UHRF1,ENSG00000276043
GRIA2,ENSG00000120251
CTC1,ENSG00000178971
JAZF1,ENSG00000153814
CACNG8,ENSG00000142408
C11orf1,ENSG00000137720
ZNF791,ENSG00000173875
ATP1A2,ENSG00000018625
MYO15B,ENSG00000266714
CD180,ENSG00000134061
CEBPG,ENSG00000153879
MTOR,ENSG00000198793
LIMCH1,ENSG00000064042
L3MBTL4,ENSG00000154655
VAMP8,ENSG00000118640
IQSEC1,ENSG00000144711
PLAUR,ENSG00000011422
SEMA6B,ENSG00000167680
FGFR1,ENSG00000077782
FAM107A,ENSG00000168309
CEMIP,ENSG00000103888
LONRF2,ENSG00000170500
CITED1,ENSG00000125931
CASP8,ENSG00000064012
C1orf162,ENSG00000143110
ZBTB44,ENSG00000196323
PTHLH,ENSG00000087494
PCDH10,ENSG00000138650
HMGA1,ENSG00000137309
MXRA8,ENSG00000162576
NHSL2,ENSG00000204131
XPOT,ENSG00000184575
MMP11,ENSG00000099953
SLC4A5,ENSG00000188687
AGPAT4,ENSG00000026652
YPEL3,ENSG00000090238
TRIB2,ENSG00000071575
HSPB8,ENSG00000152137
CEBPD,ENSG00000221869
ARHGAP44,ENSG00000006740
CMYA5,ENSG00000164309
MGP,ENSG00000111341
CCDC77,ENSG00000120647
CST3,ENSG00000101439
ADCK5,ENSG00000173137
MPZL2,ENSG00000149573
PTPRF,ENSG00000142949
RGS4,ENSG00000117152
ENO2,ENSG00000111674
ZNF84,ENSG00000198040
PPP1R1B,ENSG00000131771
MT-CO3,ENSG00000198938
ZNF502,ENSG00000196653
RBM47,ENSG00000163694
TREM2,ENSG00000095970
FAM149A,ENSG00000109794
PTPN13,ENSG00000163629
COL5A2,ENSG00000204262
SYNE3,ENSG00000176438
FUT9,ENSG00000172461
LY96,ENSG00000154589
POU3F3,ENSG00000198914
TFPI,ENSG00000003436
FGF1,ENSG00000113578
ENC1,ENSG00000171617
MAP9,ENSG00000164114
NAP1L3,ENSG00000186310
PSD2,ENSG00000146005
DCUN1D2,ENSG00000150401
ATP2B4,ENSG00000058668
DKK3,ENSG00000050165
CXCL3,ENSG00000163734
PLPP2,ENSG00000141934
CYTL1,ENSG00000170891
NFKBIA,ENSG00000100906
GNAZ,ENSG00000128266
GMNN,ENSG00000112312
ZNF536,ENSG00000198597
APOLD1,ENSG00000178878
FOXP1,ENSG00000114861
ZNF81,ENSG00000197779
LMOD3,ENSG00000163380
FKBP4,ENSG00000004478
SCN3A,ENSG00000153253
MAN2C1,ENSG00000140400
PILRA,ENSG00000085514
CRBN,ENSG00000113851
CELF4,ENSG00000101489
DNAJB4,ENSG00000162616
SPATA13,ENSG00000182957
TLR7,ENSG00000196664
RPS6KL1,ENSG00000198208
PPP3CA,ENSG00000138814
RP11-347P5.1,ENSG00000272211
PTPRZ1,ENSG00000106278
TRAF5,ENSG00000082512
SYNJ2BP,ENSG00000213463
MAST3,ENSG00000099308
GSDMB,ENSG00000073605
PLIN2,ENSG00000147872
SPOCK2,ENSG00000107742
PTPRE,ENSG00000132334
KLF2,ENSG00000127528
UNC5CL,ENSG00000124602
RGN,ENSG00000130988
ANKRD65,ENSG00000235098
CHRNB1,ENSG00000170175
KCNK6,ENSG00000099337
GSTO2,ENSG00000065621
TMEM151A,ENSG00000179292
BICD1,ENSG00000151746
ATM,ENSG00000149311
ARHGAP23,ENSG00000273780
FZD3,ENSG00000104290
CCNB3,ENSG00000147082
AIF1L,ENSG00000126878
GOLGB1,ENSG00000173230
PLTP,ENSG00000100979
MAPKAPK5-AS1,ENSG00000234608
CBX6,ENSG00000183741
ACYP1,ENSG00000119640
GNG7,ENSG00000176533
RNF149,ENSG00000163162
GPR34,ENSG00000171659
ITIH5,ENSG00000123243
PIM3,ENSG00000198355
PRSS23,ENSG00000150687
ZNF266,ENSG00000174652
XKR4,ENSG00000206579
CRISPLD2,ENSG00000103196
MROH8,ENSG00000101353
KLHL32,ENSG00000186231
FCRL2,ENSG00000132704
KLRC2,ENSG00000205809
PGM2L1,ENSG00000165434
EBF4,ENSG00000088881
ANK3,ENSG00000151150
HSPA4,ENSG00000170606
SLC38A5,ENSG00000017483
ADGRB3,ENSG00000135298
ABCA7,ENSG00000064687
RP11-138A9.1,ENSG00000271204
GRN,ENSG00000030582
RUBCNL,ENSG00000102445
GAL,ENSG00000069482
PAK3,ENSG00000077264
ATAD2B,ENSG00000119778
LHPP,ENSG00000107902
SLC6A13,ENSG00000010379
SLC39A10,ENSG00000196950
LPP,ENSG00000145012
PON2,ENSG00000105854
FBXO2,ENSG00000116661
NFASC,ENSG00000163531
FBXW7,ENSG00000109670
MKI67,ENSG00000148773
ZBTB16,ENSG00000109906
FNIP2,ENSG00000052795
PASK,ENSG00000115687
C2orf80,ENSG00000188674
NEO1,ENSG00000067141
ZNF600,ENSG00000189190
PARP8,ENSG00000151883
NUBP1,ENSG00000103274
IGSF6,ENSG00000140749
ZNF33A,ENSG00000189180
LPIN1,ENSG00000134324
TF,ENSG00000091513
LL22NC03-2H8.5,ENSG00000274422
HIP1R,ENSG00000130787
CCR1,ENSG00000163823
CACNA2D3,ENSG00000157445
ARPC1B,ENSG00000130429
MLPH,ENSG00000115648
NXPH1,ENSG00000122584
DIP2B,ENSG00000066084
HOXC9,ENSG00000180806
FOSB,ENSG00000125740
CHL1,ENSG00000134121
ZNF37A,ENSG00000075407
PPP1R3C,ENSG00000119938
LINC01116,ENSG00000163364
SPTLC3,ENSG00000172296
AFAP1L2,ENSG00000169129
DUSP26,ENSG00000133878
SEZ6,ENSG00000063015
AZI2,ENSG00000163512
GPR19,ENSG00000183150
TM4SF1,ENSG00000169908
XBP1,ENSG00000100219
NUP107,ENSG00000111581
ZBTB6,ENSG00000186130
NPC1,ENSG00000141458
GLCCI1,ENSG00000106415
COL1A1,ENSG00000108821
NECTIN3,ENSG00000177707
CRMP1,ENSG00000072832
TM6SF1,ENSG00000136404
C5AR1,ENSG00000197405
CHORDC1,ENSG00000110172
BIN1,ENSG00000136717
VTRNA1-3,ENSG00000202515
OGT,ENSG00000147162
IQGAP1,ENSG00000140575
BLVRB,ENSG00000090013
SPN,ENSG00000197471
DPYSL5,ENSG00000157851
CDK12,ENSG00000167258
RP11-231C18.1,ENSG00000248184
TMTC4,ENSG00000125247
MMP16,ENSG00000156103
LENG8,ENSG00000167615
CHST6,ENSG00000183196
MACC1,ENSG00000183742
SPTY2D1,ENSG00000179119
MT-ND1,ENSG00000198888
AOAH,ENSG00000136250
THEM4,ENSG00000159445
ATF3,ENSG00000162772
SLC20A1,ENSG00000144136
IFI35,ENSG00000068079
ANXA1,ENSG00000135046
IL4R,ENSG00000077238
AMY2B,ENSG00000240038
MMP2,ENSG00000087245
DIAPH1,ENSG00000131504
MTRNR2L12,ENSG00000269028
BAALC-AS2,ENSG00000236939
RP11-1275H24.1,ENSG00000234432
NEFL,ENSG00000277586
ABHD17A,ENSG00000129968
PNRC1,ENSG00000146278
KCNF1,ENSG00000162975
IL12RB1,ENSG00000096996
ZNF101,ENSG00000181896
CDK5RAP1,ENSG00000101391
CCDC136,ENSG00000128596
EGR3,ENSG00000179388
VPS13A,ENSG00000197969
MBD4,ENSG00000129071
C12orf76,ENSG00000174456
NEK11,ENSG00000114670
ARIH2OS,ENSG00000221883
SLCO5A1,ENSG00000137571
SLF2,ENSG00000119906
KANK1,ENSG00000107104
IL4I1,ENSG00000104951
SLC29A3,ENSG00000198246
OSER1,ENSG00000132823
FAM89A,ENSG00000182118
NR1D2,ENSG00000174738
RNF113A,ENSG00000125352
GAS7,ENSG00000007237
GPSM3,ENSG00000206314
ESAM,ENSG00000149564
FILIP1L,ENSG00000168386
DPP10,ENSG00000175497
ZNF761,ENSG00000160336
KCNH8,ENSG00000183960
BEX2,ENSG00000133134
PTAFR,ENSG00000169403
ASNS,ENSG00000070669
RGS2,ENSG00000116741
MCAM,ENSG00000076706
TTC39C,ENSG00000168234
HSPA6,ENSG00000173110
DNMT1,ENSG00000130816
COL4A1,ENSG00000187498
ANKRD36C,ENSG00000174501
SGSM2,ENSG00000141258
APLN,ENSG00000171388
LZTS1,ENSG00000061337
SOX9,ENSG00000125398
ZNF331,ENSG00000130844
ACKR1,ENSG00000213088
TIMP3,ENSG00000100234
CCL3,ENSG00000274221
